prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
SONDRIO,Lombardia,159,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0,0,0,0,27
BERGAMO,Lombardia,970,0,0,0,3,0,0,36,0,0,229,0,0,0,0,67,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,0,0,11,0,0,0,0,0,290
BRESCIA,Lombardia,1104,0,0,0,5,0,0,38,0,0,2,0,4,0,0,68,0,0,10,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,0,0,10,0,0,0,0,0,316
PAVIA,Lombardia,485,0,0,0,5,0,0,25,0,0,0,0,0,0,0,16,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,3,0,0,8,0,0,8,0,0,0,0,0,108
CREMONA,Lombardia,316,0,0,0,3,0,0,12,0,0,0,0,3,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,3,0,0,0,0,0,38
MANTOVA,Lombardia,361,0,0,0,2,0,0,6,0,0,0,0,82,0,0,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,102
LECCO,Lombardia,296,0,0,0,6,0,0,17,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,2,0,0,0,0,0,45
LODI,Lombardia,201,0,0,0,1,0,0,20,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,1,0,0,0,0,0,45
MONZA E DELLA BRIANZA,Lombardia,766,0,0,0,4,0,0,47,0,0,0,0,0,0,0,26,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,7,0,0,14,0,0,0,0,0,116
TRENTO,Trentino,472,128,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
BOLZANO,Trentino,455,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
VENEZIA,Veneto,756,0,0,0,0,0,0,12,0,0,0,0,0,0,0,29,0,98,0,0,0,2,0,0,2,0,0,0,0,0,64,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,164
VERONA,Veneto,812,0,0,132,0,0,0,17,0,0,0,0,0,0,0,23,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,170
